cip6,soc6,naics6
51.0202,25-9044,611310
9.0903,Nov-31,336212
52.0801,43-3071,NA
42.0101,29-1122,611310
NA,99-9999,NA
52.0201,43-9061,424720
52.0213,21-Nov,531120
52.0201,Nov-31,611310
24.0102,15-1232,NA
52.1401,27-3031,NA
51.3801,29-1141,NA
52.0201,43-1011,238210
19.0701,43-3071,NA
14.0801,17-2051,541370
52.0201,11-Nov,NA
NA,11-1011,541990
51.3801,29-1141,NA
NA,99-9999,611310
51.3801,29-1141,NA
51.3801,21-Nov,NA
9.0102,27-3023,NA
51.3801,29-1141,NA
19.0701,43-6011,611310
NA,29-1071,611310
52.0201,43-3021,NA
24.0103,43-3071,NA
42.0101,25-9044,611310
42.0101,21-1021,NA
51.3801,29-1141,622110
NA,21-Nov,NA
52.1401,11-1021,NA
42.0101,13-2072,611310
51.3801,29-1141,NA
51.3801,99-9999,NA
24.0102,29-1141,NA
51.3801,29-1141,NA
50.0301,27-1013,NA
52.0801,43-4131,NA
19.0701,21-1012,611310
52.1401,43-3071,NA
51.3801,29-2053,NA
51.0202,25-9044,611310
52.0201,13-1198,NA
51.3801,29-1141,NA
NA,17-3098,541380
42.0101,29-1122,611310
NA,35-3031,453991
52.0201,21-Nov,813219
NA,27-3031,333924
9.0402,27-3023,NA
11.0101,15-1232,611310
52.0101,Nov-98,NA
52.1001,43-4051,522130
40.0601,19-2042,213112
52.0301,13-2011,541211
52.1401,Nov-31,NA
54.0101,43-3071,NA
16.12,15-1232,NA
50.0705,47-2141,NA
9.0402,27-2012,NA
11.0701,15-1232,541512
27.0101,13-1111,236210
NA,11-1011,NA
9.0402,27-3023,NA
NA,29-1031,NA
14.1901,17-2141,236210
NA,29-1141,NA
13.1312,27-2012,NA
52.0201,27-3031,NA
50.0708,99-9999,NA
52.1401,21-Nov,NA
44.0701,39-4031,NA
52.0803,13-2072,NA
25.0101,15-1299,NA
40.0404,27-3011,NA
51.3801,29-1141,NA
52.0201,43-1011,924120
52.0201,21-Nov,211120
42.0101,31-1128,NA
51.3801,29-1141,NA
NA,27-3031,423110
54.0101,11-1021,NA
23.0101,25-1099,611110
52.0201,43-4081,NA
11.0101,17-2199,NA
52.0101,25-2031,713940
19.0701,21-1023,621330
NA,21-1018,621330
52.0201,13-1071,722513
52.0213,17-2112,541519
52.0201,41-3041,561510
42.0101,11-Nov,NA
52.0301,13-1111,NA
51.0202,15-1299,621330
42.0101,41-2011,722513
40.0501,19-2031,541330
31.0501,15-1232,722513
52.1401,Nov-31,NA
52.0213,17-3022,541330
52.0801,13-2011,541219
27.0501,13-1111,NA
44.0701,22-Nov,325620
11.0701,15-1232,447110
43.0102,17-2072,541511
40.0601,41-2011,722513
14.1001,15-2031,NA
52.0201,41-4011,425110
52.0201,13-1161,541618
52.0301,13-2011,621498
NA,31-1128,621610
NA,15-1244,722513
50.0904,27-3031,NA
14.1001,15-1256,541511
9.01,27-3031,NA
4.0201,15-1232,541618
52.0201,13-1111,NA
46,17-2199,236115
31.0501,21-1018,621330
14.3501,17-2112,NA
30,43-6011,425120
42.0101,21-1018,621330
45.0601,13-1111,NA
52.1401,13-1161,325620
NA,43-1011,524291
40.0501,19-2031,541330
NA,13-1198,325620
52.0801,43-4131,522310
52.0201,43-4051,NA
NA,15-1256,NA
52.0213,41-2031,236115
14.1901,17-3024,541512
52.1401,21-Nov,NA
52.1401,43-4051,336390
52.0301,13-2011,541219
52.1401,41-2031,325620
14.0801,17-2199,541330
52.0301,13-2011,311919
52.0201,13-1161,541810
42.0101,43-6014,722511
52.0201,13-1111,NA
52.1401,Nov-98,423210
14.1001,41-3021,524210
52.0101,13-1198,423210
52.0801,27-3031,541830
4.0201,17-2141,NA
52.1401,41-2031,325620
45.0601,11-1011,NA
NA,41-3021,524210
9.0102,41-2031,321991
42.0101,Nov-98,722513
51.3801,43-1011,621498
52.2001,Nov-32,236220
52.1401,27-3031,541199
4.0201,47-1011,236220
51.3801,Nov-98,NA
52.0101,41-9022,531210
52.2001,Nov-32,541990
NA,29-2034,NA
51.3801,29-1141,NA
45.0601,21-Nov,541214
42.0101,Nov-51,621330
52.0201,99-9999,NA
14.0101,21-Nov,236115
14.1901,25-3097,611691
45.1101,35-3031,722511
52.1902,35-3011,NA
52.1301,41-3091,621498
52.0101,23-2011,621498
52.0201,13-1111,NA
42.0101,43-6014,321991
42.0101,21-1023,621330
52.0201,41-1012,561311
NA,15-1251,NA
52.1401,43-1011,NA
42.0101,Nov-98,531210
50.0506,41-4012,NA
52.0301,13-2011,541219
45.1001,39-5012,325620
27.0101,15-2031,621498
11.0701,99-9999,NA
52.0301,13-2011,541219
45.0601,11-1011,524210
11.0701,15-1244,334519
27.0101,41-1011,722513
52.1401,15-1244,238220
52.0801,41-2031,325620
NA,13-1198,325620
42.0101,21-1013,621330
50.0411,15-1256,NA
52.0213,43-4051,333922
31.0501,Nov-81,722511
14.0101,43-4051,NA
11.0701,99-9999,NA
42.0101,29-2053,621330
9.0402,27-3031,722513
52.0301,13-2011,NA
52.0804,41-3031,524210
9.01,31-9099,NA
NA,29-1215,NA
45.0601,13-2011,621498
52.0201,99-9999,722513
14.0901,13-1111,NA
30.2501,25-4022,541330
14.0101,17-2199,236115
50.0401,27-1029,NA
19.0701,29-2053,621330
52.2001,51-2098,212321
14.0901,13-1111,NA
14.1901,11-Nov,NA
9.0903,53-7062,541810
1.1001,99-9999,311811
19.0504,43-1011,722513
51.3801,39-5091,NA
NA,13-1111,325620
NA,22-Nov,325620
31.0501,21-Nov,621330
52.1401,11-1021,722513
23.1302,Nov-31,611691
52.0203,13-1028,325620
52.0201,11-Nov,541618
NA,13-1161,541810
NA,21-1018,621330
16.0905,41-3091,325620
11.0701,15-1256,541519
41,Nov-98,325620
9.01,27-1024,325620
54.0101,43-3031,NA
51.3801,41-2031,325620
42.0101,29-2053,621330
14.0901,99-9999,NA
52.0201,15-1256,NA
52.1001,11-1021,722513
26.0101,Nov-98,531210
52.0203,15-1211,NA
52.0301,43-3031,NA
42.0101,13-1081,NA
11.0101,15-1256,541511
50.0401,27-1024,541512
52.0101,43-4051,336390
NA,43-4081,NA
43.01,39-5012,325620
51.0202,31-9099,NA
NA,21-1018,621330
42.0101,41-2031,325620
42.0101,41-4011,236115
11.0701,13-1111,NA
NA,39-5012,325620
9.01,43-4051,NA
52.0201,43-1011,621498
52.1401,22-Nov,541990
9.0701,27-3023,NA
52.0801,15-2098,424210
NA,99-9999,NA
14.0501,17-2031,446199
50.0401,13-1198,NA
NA,43-3071,NA
52.1401,13-1111,NA
9.01,29-2053,621330
1.1001,15-1256,311811
NA,41-2031,311811
52.1902,39-9031,713940
9.01,21-Nov,541519
11.0701,13-1111,NA
50.0501,25-1099,NA
24.0102,Nov-31,NA
42.0101,49-2022,621330
19.0701,13-1111,621330
26.0101,25-2031,611110
52.2001,27-1025,236115
