,learn,pumaid,educ,hours,state,Y,W
2174,10.59663,4400200,12,40,44,10.59663,FALSE
2175,10.4631,4400200,16,40,44,10.4631,TRUE
2176,7.824046,4400200,12,35,44,7.824046,FALSE
2177,10.93311,4400200,16,50,44,10.93311,TRUE
2178,11.61729,4400200,16,60,44,11.61729,TRUE
2179,11.05089,4400200,7.5,40,44,11.05089,FALSE
2180,10.4631,4400200,16,40,44,10.4631,TRUE
2181,9.615806,4400200,18,48,44,9.615806,TRUE
2182,10.59663,4400200,12,40,44,10.59663,FALSE
2183,11.03489,4400200,16,55,44,11.03489,TRUE
2184,10.22557,4400200,12,40,44,10.22557,FALSE
2185,8.881836,4400200,13,20,44,8.881836,TRUE
2186,10.30895,4400200,13,40,44,10.30895,TRUE
2187,9.588777,4400200,12,40,44,9.588777,FALSE
2188,10.859,4400200,14,50,44,10.859,TRUE
2189,9.862665,4400200,10,50,44,9.862665,FALSE
2190,4.60517,4400200,16,20,44,4.60517,TRUE
2191,8.517193,4400200,13,30,44,8.517193,TRUE
2192,8.294049,4400200,12,40,44,8.294049,FALSE
2193,10.66896,4400200,16,35,44,10.66896,TRUE
2194,10.34174,4400200,13,40,44,10.34174,TRUE
2195,10.89674,4400200,11,54,44,10.89674,FALSE
2196,10.52675,4400200,13,80,44,10.52675,TRUE
2197,10.81978,4400200,16,40,44,10.81978,TRUE
2198,11.0021,4400200,13,45,44,11.0021,TRUE
2199,9.392662,4400200,12,46,44,9.392662,FALSE
2200,10.30895,4400200,14,40,44,10.30895,TRUE
2201,9.21034,4400200,13,20,44,9.21034,TRUE
2202,10.81978,4400200,16,40,44,10.81978,TRUE
2203,10.81978,4400200,18,40,44,10.81978,TRUE
2204,10.54534,4400200,12,40,44,10.54534,FALSE
2205,12.59134,4400200,16,50,44,12.59134,TRUE
2206,10.859,4400200,13,45,44,10.859,TRUE
2207,10.49127,4400200,18,40,44,10.49127,TRUE
2208,10.95081,4400200,12,40,44,10.95081,FALSE
2209,10.77896,4400200,14,44,44,10.77896,TRUE
2210,10.77478,4400200,5.5,40,44,10.77478,FALSE
2211,10.59663,4400200,12,48,44,10.59663,FALSE
2212,10.43412,4400200,13,60,44,10.43412,TRUE
2213,10.23996,4400200,14,40,44,10.23996,TRUE
2214,8.476371,4400200,12,50,44,8.476371,FALSE
2215,10.30561,4400200,14,60,44,10.30561,TRUE
2216,10.59663,4400200,13,40,44,10.59663,TRUE
2217,8.853665,4400200,13,40,44,8.853665,TRUE
2218,10.57132,4400200,14,40,44,10.57132,TRUE
2219,10.59663,4400200,10,36,44,10.59663,FALSE
2220,10.23996,4400200,12,40,44,10.23996,FALSE
2221,11.22524,4400200,16,70,44,11.22524,TRUE
2222,10.51867,4400200,12,45,44,10.51867,FALSE
2223,10.08163,4400200,9,40,44,10.08163,FALSE
2224,10.91509,4400200,12,50,44,10.91509,FALSE
2225,10.12663,4400200,12,40,44,10.12663,FALSE
2226,9.615806,4400200,16,50,44,9.615806,TRUE
2227,11.22524,4400200,13,50,44,11.22524,TRUE
2228,7.600903,4400200,13,25,44,7.600903,TRUE
2229,11.18442,4400200,16,45,44,11.18442,TRUE
2230,10.91509,4400200,18,55,44,10.91509,TRUE
2231,9.615806,4400200,12,42,44,9.615806,FALSE
2232,11.21182,4400200,16,40,44,11.21182,TRUE
2233,10.37349,4400200,12,44,44,10.37349,FALSE
2234,10.4631,4400200,16,40,44,10.4631,TRUE
2235,11.03489,4400200,14,40,44,11.03489,TRUE
2236,10.66896,4400200,13,40,44,10.66896,TRUE
2237,10.49957,4400200,14,50,44,10.49957,TRUE
2238,10.81978,4400200,13,50,44,10.81978,TRUE
2239,10.43412,4400200,13,56,44,10.43412,TRUE
2240,9.998797,4400200,13,40,44,9.998797,TRUE
2241,10.4631,4400200,13,70,44,10.4631,TRUE
2242,10.04325,4400200,9,45,44,10.04325,FALSE
2243,10.59663,4400200,13,50,44,10.59663,TRUE
2244,11.51293,4400200,13,55,44,11.51293,TRUE
2245,10.30895,4400200,12,40,44,10.30895,FALSE
2246,11.39639,4400200,16,50,44,11.39639,TRUE
2247,9.615806,4400200,9,35,44,9.615806,FALSE
2248,7.090077,4400200,16,2,44,7.090077,TRUE
2249,9.998797,4400200,12,40,44,9.998797,FALSE
2250,10.49127,4400200,12,50,44,10.49127,FALSE
2251,9.392662,4400200,12,40,44,9.392662,FALSE
2252,8.160519,4400200,14,15,44,8.160519,TRUE
2253,9.952278,4400200,16,70,44,9.952278,TRUE
2254,10.23996,4400200,12,40,44,10.23996,FALSE
2255,10.59663,4400200,13,75,44,10.59663,TRUE
2256,11.35041,4400200,14,50,44,11.35041,TRUE
2257,10.4631,4400200,13,45,44,10.4631,TRUE
2258,9.898475,4400200,12,45,44,9.898475,FALSE
2259,10.81978,4400200,13,40,44,10.81978,TRUE
2260,10.04325,4400200,13,50,44,10.04325,TRUE
2261,10.22557,4400200,12,45,44,10.22557,FALSE
2262,10.27505,4400200,13,30,44,10.27505,TRUE
2263,9.21034,4400200,14,25,44,9.21034,TRUE
2264,10.64542,4400200,13,40,44,10.64542,TRUE
2265,8.34284,4400200,12,40,44,8.34284,FALSE
2266,10.08581,4400200,12,40,44,10.08581,FALSE
2267,9.998797,4400200,12,40,44,9.998797,FALSE
2268,9.769957,4400200,12,35,44,9.769957,FALSE
2269,9.249561,4400200,12,40,44,9.249561,FALSE
2270,8.517193,4400200,11,35,44,8.517193,FALSE
2271,10.30895,4400200,12,50,44,10.30895,FALSE
2272,10.37349,4400200,13,45,44,10.37349,TRUE
2273,11.28978,4400200,18,45,44,11.28978,TRUE
2274,10.64542,4400200,12,50,44,10.64542,FALSE
2275,10.67128,4400200,12,60,44,10.67128,FALSE
2276,10.16585,4400200,13,45,44,10.16585,TRUE
2277,10.59663,4400200,14,50,44,10.59663,TRUE
2278,9.966462,4400200,13,40,44,9.966462,TRUE
2279,11.0021,4400200,18,40,44,11.0021,TRUE
2280,10.7579,4400200,13,50,44,10.7579,TRUE
2281,10.44871,4400200,12,40,44,10.44871,FALSE
2282,11.0021,4400200,16,45,44,11.0021,TRUE
2283,10.4631,4400200,12,40,44,10.4631,FALSE
2284,10.35137,4400200,16,25,44,10.35137,TRUE
2285,8.188689,4400200,14,40,44,8.188689,TRUE
2286,9.10498,4400200,18,15,44,9.10498,TRUE
2287,10.08581,4400200,12,45,44,10.08581,FALSE
2288,9.648595,4400200,16,40,44,9.648595,TRUE
2289,9.21034,4400200,13,40,44,9.21034,TRUE
2290,10.30895,4400200,13,58,44,10.30895,TRUE
2291,11.25156,4400200,18,50,44,11.25156,TRUE
2292,10.51597,4400200,9,40,44,10.51597,FALSE
2293,10.12663,4400200,12,40,44,10.12663,FALSE
2294,10.59663,4400200,14,40,44,10.59663,TRUE
2295,10.64542,4400200,16,40,44,10.64542,TRUE
2296,10.4631,4400200,12,40,44,10.4631,FALSE
2297,11.73607,4400200,18,40,44,11.73607,TRUE
2298,10.30895,4400200,16,60,44,10.30895,TRUE
2299,9.903487,4400200,12,40,44,9.903487,FALSE
2300,11.91839,4400200,16,50,44,11.91839,TRUE
2301,10.4631,4400200,13,55,44,10.4631,TRUE
2302,9.035987,4400200,13,25,44,9.035987,TRUE
2303,10.71442,4400200,16,45,44,10.71442,TRUE
2304,11.55215,4400200,18,60,44,11.55215,TRUE
2305,11.44035,4400200,12,55,44,11.44035,FALSE
2306,8.699514,4400200,10,40,44,8.699514,FALSE
2307,10.4631,4400200,16,40,44,10.4631,TRUE
2308,9.903487,4400200,9,40,44,9.903487,FALSE
2309,9.740969,4400200,12,40,44,9.740969,FALSE
2310,9.852194,4400200,12,4,44,9.852194,FALSE
2311,10.66896,4400200,16,40,44,10.66896,TRUE
2312,10.4631,4400200,14,45,44,10.4631,TRUE
2313,9.25913,4400200,12,60,44,9.25913,FALSE
2314,10.66896,4400200,12,49,44,10.66896,FALSE
2315,10.43412,4400200,16,40,44,10.43412,TRUE
2316,10.12663,4400200,16,11,44,10.12663,TRUE
2317,9.615806,4400200,13,40,44,9.615806,TRUE
2318,8.732305,4400200,13,40,44,8.732305,TRUE
2319,10.37349,4400200,13,32,44,10.37349,TRUE
2320,10.59663,4400200,18,48,44,10.59663,TRUE
2321,10.4631,4400200,12,40,44,10.4631,FALSE
2322,8.779557,4400200,12,37,44,8.779557,FALSE
2323,11.0021,4400200,12,40,44,11.0021,FALSE
2324,10.54271,4400200,0,37,44,10.54271,FALSE
2325,11.08214,4400200,16,45,44,11.08214,TRUE
2326,10.71442,4400200,13,50,44,10.71442,TRUE
2327,10.66896,4400200,16,24,44,10.66896,TRUE
2328,11.21182,4400200,18,40,44,11.21182,TRUE
2329,9.903487,4400200,12,40,44,9.903487,FALSE
